id,name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,gbif_id,created_at,updated_at
00a49470-b51d-43fe-9b5f-1f8488a9adae,Huchon,Danube,Hucho hucho,,Salmonidés,,,"[""fresh""]",,,,,,"[""FR""]",,,,,,,,,Saumon du Danube de l'allemand Donaulachs,2351413,2025-11-22 01:24:05.500597+00,2025-11-22 01:24:05.500597+00
02420799-f368-4fa7-b0fc-51a2e803689c,Athérine,Big-eyed Sand-smelt,Atherina boyeri,,Athérinidés,,,"[""salt"",""fresh""]",,,,,,"[""LB"",""ES"",""SI"",""MT"",""MC"",""FR"",""BA"",""IL"",""LY"",""IT"",""TN"",""PS"",""TR"",""CY"",""MA"",""AL"",""HR"",""EG"",""GR"",""SY"",""ME"",""DZ""]",,,,,,,,,"Atherina boyeri (le Joël ou Athérine) est une espèce de poissons de la famille des Atherinidae que l'on rencontre dans l'océan Atlantique (du large du Portugal jusqu'à hauteur de la Mauritanie), en Méditerranée, dans la mer Noire et dans la Caspienne.",2411944,2025-11-22 01:24:05.500597+00,2025-11-22 01:24:05.500597+00
02b60126-a6b5-44df-835f-1e89c597fcb2,Grondin gris,Grey Gurnard,Eutrigla gurnardus,,Triglidae,,,"[""salt""]",,,,,,"[""CA"",""SN"",""US"",""JM"",""FR"",""BS"",""VE"",""SR"",""SL"",""HN"",""MX"",""CI"",""AR"",""NI"",""GM"",""MR"",""IE"",""GY"",""BR"",""PA"",""HT"",""LR"",""BZ"",""ZA"",""DO"",""GN"",""ES"",""PT"",""NG"",""NO"",""GB"",""IS"",""CU"",""CR"",""EH"",""MA"",""GH"",""CO"",""CV"",""GW"",""GL"",""GT""]",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Eutrigla_gurnardus1.jpg/120px-Eutrigla_gurnardus1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Eutrigla_gurnardus1.jpg/120px-Eutrigla_gurnardus1.jpg,"Eutrigla gurnardus, communément appelé Grondin gris, est une espèce de poissons marins de la famille des Triglidae. C'est la seule espèce du genre Eutrigla (monotypique).",2336597,2025-11-22 01:24:25.185827+00,2025-11-22 01:24:25.185827+00
032759a0-f3b7-45e5-90e6-748948aaf127,Barracuda,Barra,Sphyraena barracuda,,Sphyraenidae,,,"[""salt""]",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Barracuda_laban.jpg/120px-Barracuda_laban.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Barracuda_laban.jpg/120px-Barracuda_laban.jpg,"Le Grand barracuda (Sphyraena barracuda) est une espèce de  poissons carnassier de grande taille, de la famille des barracudas.",9784990,2025-11-22 01:24:25.185827+00,2025-11-22 01:24:25.185827+00
033a2da6-8b1e-4334-abef-a09990ce7420,Gobie à quatre taches,Four-spotted goby,Deltentosteus quadrimaculatus,,Gobiidae,,,"[""salt""]",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Deltentosteus quadrimaculatus,2376296,2025-11-22 01:24:25.185827+00,2025-11-22 01:24:25.185827+00
034d1d50-80f5-43fe-8907-f2d90fe77ce8,Mulet porc,Haarder,Liza ramada,,Mugilidae,,,"[""salt""]",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Liza_ramada.jpg/120px-Liza_ramada.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Liza_ramada.jpg/120px-Liza_ramada.jpg,"Mulet porc, Mulet capiton, Mulet calusse",2400718,2025-11-22 01:24:49.133576+00,2025-11-22 01:24:49.133576+00
05778092-a532-4887-9353-e88a6526643c,Hippocampe à ramules,Long-snouted seahorse,Hippocampus guttulatus,,Syngnathidae,,,"[""salt""]",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Hippocampus guttulatus, communément nommé Hippocampe moucheté ou hippocampe à long bec, est une espèce de poisson osseux de petite taille appartenant à la famille des Syngnathidae, natif de l'Océan Atlantique oriental et de la Mer Méditerranée.",5201064,2025-11-22 01:24:25.185827+00,2025-11-22 01:24:25.185827+00
05c443fd-90b2-45db-9787-df4b3b22a2f1,Triptérygion,Red-black triplefin,Tripterygion tripteronotus,,Tripterygiidae,,,"[""salt""]",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Tripterygion.JPG/120px-Tripterygion.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Tripterygion.JPG/120px-Tripterygion.JPG,,5962007,2025-11-22 01:24:25.185827+00,2025-11-22 01:24:25.185827+00
06576208-d50c-4495-aea5-2fc38a32985a,Sar,White seabream,Diplodus sargus,,Sparidae,,,"[""salt""]",,,,,,"[""CA"",""SN"",""US"",""JM"",""FR"",""BS"",""VE"",""SR"",""SL"",""HN"",""MX"",""CI"",""AR"",""NI"",""GM"",""MR"",""IE"",""GY"",""BR"",""PA"",""HT"",""LR"",""BZ"",""ZA"",""DO"",""GN"",""ES"",""PT"",""NG"",""NO"",""GB"",""IS"",""CU"",""CR"",""EH"",""MA"",""GH"",""CO"",""CV"",""GW"",""GL"",""GT""]",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Sar_commun.jpg/120px-Sar_commun.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Sar_commun.jpg/120px-Sar_commun.jpg,Diplodus sargus,5210968,2025-11-22 01:24:25.185827+00,2025-11-22 01:24:25.185827+00
0662ce1d-ad59-4334-ba3d-8acd1a3c0038,Palomète,Bonito,Orcynopsis unicolor,,Scombridae,,,"[""salt""]",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Orcynopsis_unicolor_Cada.gif/120px-Orcynopsis_unicolor_Cada.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Orcynopsis_unicolor_Cada.gif/120px-Orcynopsis_unicolor_Cada.gif,"Orcynopsis unicolor est une espèce de poissons marins appartenant à la famille des Scombridae. Elle est appelée Palomète, nom vernaculaire qu'elle partage avec Trachinotus ovatus. Orcynopsis unicolor est la seule espèce de son genre Orcynopsis.",2373921,2025-11-22 01:24:49.133576+00,2025-11-22 01:24:49.133576+00
